sr_no,sector,ministry,project_code,project_name,orig_cost,rev_cost,expenditure,phys_progress,planned_duration_days,project_age_years,elapsed_fraction,progress_gap,cost_utilization,cost_per_progress,sanction_year,sanction_month,size_decile_in_sector,sector_loo_cost_overrun_rate,sector_loo_time_overrun_rate,ministry_loo_cost_overrun_rate,ministry_loo_time_overrun_rate,cost_overrun_pct,cost_overrun_flag,time_overrun_months,time_overrun_flag
1,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,706718,C/o NITB Imphal Airport,499,499.0,212.17,53,985.0,4.492813141683778,1.665989847715736,113.59898477157361,0.42519038076152305,3.929074074074074,2021.0,11.0,4.0,0.4444444444444444,0.8181818181818182,0.4444444444444444,0.8181818181818182,0.0,0.0,29.59921156373193,1.0
2,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,701121,Construction of New Domestic Terminal Building at Rajahmundry Airport.,347,,189.48,96,957.0,3.3319644079397674,1.271682340647858,31.168234064785793,0.5460518731988472,1.95340206185567,2022.0,12.0,2.0,0.4,0.8181818181818182,0.4,0.8181818181818182,,,12.3850197109067,1.0
3,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,701101,"Construction of New Domestic Terminal Building [Phase-I and II] and other allied structures at JPNI Airport, Patna",1217,1216.9,1203.48,99,2796.0,7.57015742642026,0.9889127324749643,-0.10872675250357133,0.9888907148726377,12.0348,2018.0,10.0,7.0,0.4444444444444444,0.8181818181818182,0.4444444444444444,0.8181818181818182,-0.00821692686934339,0.0,3.0223390275952693,1.0
4,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,612788,Construction of New Domestic Terminal Building and Miscellaneous Works at Belagavi Airport.,322,,240.99,97,975.0,2.9103353867214237,1.0902564102564103,12.025641025641022,0.748416149068323,2.4590816326530613,2023.0,6.0,0.0,0.4,0.8181818181818182,0.4,0.8181818181818182,,,6.931668856767411,1.0
5,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,612787,Construction of New Domestic Terminal Building and Miscellaneous works at Hubli Airport,320,,169.11,88,964.0,2.9103353867214237,1.1026970954356847,22.269709543568467,0.52846875,1.900112359550562,2023.0,6.0,0.0,0.4,0.8181818181818182,0.4,0.8181818181818182,,,8.278580814717477,1.0
6,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,612786,"Construction of New Domestic Terminal Building Building and miscellaneous works including maintenance, operations and AICMC at Kadapa Airport",266,,176.38,80,1054.0,3.14031485284052,1.088235294117647,28.823529411764696,0.6630827067669173,2.177530864197531,2023.0,3.0,0.0,0.4,0.8181818181818182,0.4,0.8181818181818182,,,8.081471747700395,1.0
7,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,701128,Construction of New Integrated Passenger Terminal Building at Udaipur Airport,887,887.0,587.22,79,993.0,2.858316221765914,1.051359516616314,26.13595166163141,0.6620293122886133,7.34025,2023.0,6.0,6.0,0.4444444444444444,0.8181818181818182,0.4444444444444444,0.8181818181818182,0.0,0.0,6.570302233902759,1.0
8,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,701107,Construction of New Integrated Terminal Building and associated works including apron to park 3 code E type of aircraft or 6 code C type of aircraft at Vijayawada Airport.,612,824.28,572.99,90,809.0,5.867214236824093,2.6489493201483314,174.89493201483316,0.9362581699346405,6.296593406593407,2020.0,6.0,5.0,0.3333333333333333,0.8181818181818182,0.3333333333333333,0.8181818181818182,34.686274509803916,1.0,50.19710906701708,1.0
9,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,701127,Construction of New Passenger Terminal Building for Domestic Operations at Jodhpur Airport.,480,480.0,348.2,100,1399.0,3.912388774811773,1.0214438884917798,2.144388849177986,0.7254166666666666,3.4475247524752475,2022.0,6.0,2.0,0.4444444444444444,0.8636363636363636,0.4444444444444444,0.8636363636363636,0.0,0.0,2.4967148488830486,0.0
10,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,611047,"Construction of NTB complex including apron, taxi track and other associated civil works and electrical & mechanical installations towards Tawi River side at CA Jammu.",861,861.37,370.44,58,985.0,2.5544147843942504,0.9472081218274112,36.72081218274113,0.4302439024390244,6.27864406779661,2023.0,10.0,5.0,0.4444444444444444,0.8181818181818182,0.4444444444444444,0.8181818181818182,0.04297328687572643,0.0,5.321944809461235,1.0
